"name"|"offerID"
"Dell Inspiron 15 7000 15.6in Intel Core i7 (7th Gen) IPS LCD Gaming Notebook 16GB RAM 1 TB HDD 128GB SSD"|"antonline_926"
"Dell Latitude 5490 14in Intel Core i7 8 GB DDR4 SDRAM LCD Notebook"|"antonline_905"
"Lenovo ThinkPad E580 20KS008JUS 15.6in LCD Notebook"|"antonline_527"
"Lenovo 20KS008JUS Ts e580 i3 4gb 500gb"|"savingslots_605"
"HP ProBook 645 G4 14in LCD Notebook"|"antonline_198"
"Hewlett Packard 645G4 R7-2700U 14 8GB/500 PC"|"buydig_351"
"ASUSPRO Laptop - 15.6??? FHD Matte Display"|"antonline_827"
"Lenovo IdeaPad Flex 5-1570 81CA0007US 15.6in Touchscreen LCD 2 in 1 Notebook"|"antonline_1073"
"Lenovo IdeaPad 530S-14IKB 81EU000HUS 14in LCD Notebook"|"antonline_835"
"HP ProBook 650 G2"|"antonline_344"
"Lenovo - 530S-14IKB 14in Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Onyx Black"|"bestbuy_744"
"Asus Vivobook S S530UA-DB51-RD 15.6in LCD Notebook"|"antonline_698"
"Dell G35795965BLK 15.6 i5 8300h 8gb 256gb"|"savingslots_490"
"ASUS - VivoBook S15 15.6in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Starry Gray With Red Edges"|"bestbuy_351"
"Dell G3579-5965BLK 15.6in i5-8300H 8GB RAM 256GB SSD Gaming Notebook Laptop"|"buydig_44"
"Acer 12in Ci37130U 4G 128SSD W10P"|"buydig_154"
"Lenovo - 15.6in Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Platinum silver"|"bestbuy_722"
"Lenovo IdeaPad 320S-15IKB 15.6in LCD Notebook"|"antonline_1157"
"Lenovo IdeaPad 320S-15IKB 80X50002US 15.6in LCD Notebook"|"antonline_1156"
"Lenovo 320S-15IKB 80X5"|"howardcomputer_2221"
"Lenovo 81EM0007US Ip flex 6 i5 8gb 256gb"|"savingslots_502"
"Asus ROG Strix Scar II 17.3&ampquot 144Hz GTX 1060 Gaming Laptop [GL704GM-DH74]"|"cukusa_36"
"Asus ROG Strix SCAR II GL704 Black Gaming Laptop Computer"|"abt_118"
"Hewlett Packard 1030 G2 i77600U 13.3in 8G 512GB"|"buydig_400"
"ASUS GL704GMDH74 17.3 i7 8750h 16gb 256gb"|"savingslots_126"
"HP ProBook 440 G5 14in Touchscreen LCD Notebook"|"antonline_377"
"Lenovo IdeaPad 330-15ICH 81FK0000US 15.6in LCD Notebook"|"antonline_791"
"Lenovo?IdeaPad 330 330-15ICH 81FK 8th Gen Intel Core i5-8300H 2.3GHz Notebook PC - 8GB RAM 1TB HDD 15.6in TN 1920 x 1080 (Full HD) GeForce GTX 1050 / UHD Graphics 630 WiFi Bluetooth Microsoft Windows 10 Home 64-bit - Onyx Black?(81FK0000US)"|"macmall_404"
"Dell Latitude 5000 5491 14in LCD Notebook"|"antonline_756"
"Dell 14in i7 8850H 8GB 256GB"|"buydig_221"
"Dell commercial 4d7j7 14 i7 8850h 8gb 256gb"|"massgenie_448"
"Hewlett Packard 470 i78550U 17.3in 16G 256GB"|"buydig_393"
"HP ProBook 470 G5 17.3in LCD Notebook"|"antonline_324"
"Lenovo IdeaPad 330-15ICH 81FK009UUS 15.6in LCD Notebook"|"antonline_703"
"Asus Chromebook Flip C302 Silver Laptop Computer"|"abt_4"
"Asus Chromebook Flip C302CA-DHM4 12.5in Touchscreen LCD 2 in 1 Chromebook"|"antonline_1189"
"12.5in C302CA-DHM4 64GB Chromebook Flip"|"bhphotovideo_7"
"Alienware 17 GTX 1070 VR Ready Gaming Laptop"|"cukusa_35"
"Alienware - 17.3in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 OC Edition - 1TB + 8GB Hybrid Hard Drive - Epic Silver"|"bestbuy_138"
"Dell AW17R5-7092SLV 17.3in Alienware R5 i7-8750H 16GB RAM 1TB Gaming Notebook Laptop"|"buydig_46"
"HP - Pavilion x360 2-in-1 15.6in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - HP Finish In Natural Silver And Ash Silver"|"bestbuy_675"
"HP Pavilion x360 2 in1 15.6in IPS Touch Screen Laptop Intel Core i5 (8th Gen) 8GB RAM 256GB SSD Silver"|"antonline_288"
"HP ProBook x360 440 G1 14in Touchscreen LCD 2 in 1 Notebook"|"antonline_197"
"HP Inc.?Smart Buy ProBook x360 440 G1 Intel Core i3-8130U Dual-Core 2.20GHz Convertible Notebook PC - 4GB RAM 128GB SSD 14in Touchscreen LED FHD UWVA Display 10/100/1000 Intel 8265 AC 2x2 WiFi + Bluetooth 4.2 720p HD Webcam 3-Cell 48 WHr Battery?(4PY44UTABA)"|"macmall_690"
"HP ProBook x360 440 G1"|"howardcomputer_1731"
"Microsoft?Surface Laptop 7th Gen Intel Core i7-7660U Dual-Core 2.5GHz 8GB RAM 256GB SSD 13.5in touchscreen 2256 x 1504 Intel Iris Plus Graphics 640 Wi-Fi Bluetooth Microsoft Windows 10 Pro - Platinum kbd: English North America - commercial?(JKQ-00001)"|"macmall_80"
"Microsoft?Surface Laptop 7th Gen Intel Core i7-7660U Dual-Core 2.5GHz 8GB RAM 256GB SSD 13.5in touchscreen 2256 x 1504 Intel Iris Plus Graphics 640 Wi-Fi Bluetooth Microsoft Windows 10 Pro - Burgundy kbd: English North America - commercial?(JKQ-00036)"|"macmall_72"
"Microsoft Surface Laptop"|"howardcomputer_209"
"Hewlett Packard 14in ZBook14uG5 i78650U 8GB/256"|"buydig_451"
"Hp commercial specialty 3ye09utaba 14 zbook14ug5 i78650u 8gb/256"|"massgenie_415"
"HP ZBook 14u G5 14in Touchscreen LCD Mobile Workstation"|"antonline_249"
"HP 3YE09UT-ABA 14 in. ZBook 14u G5 i78650U 8 & 256 GB LCD Mobile Workstation Turbo Silver"|"massgenie_324"
"ASUS - Strix GL504GS 15.6in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB HDD + 256GB SSD - Black"|"bestbuy_322"
"Alienware AW17R4-7345SLV-PUS 17in Laptop (7th Generation Intel Core i7 16GB RAM 1TB HDD Silver) VR Ready with NVIDIA GTX 1070"|"electronicsface_87"
"ASUS ROG Strix GL504GS DS74"|"howardcomputer_1011"
"Asus ROG Strix SCAR II GTX 1070 Gaming Laptop [GL504GS-DS74]"|"cukusa_3"
"Lenovo IdeaPad Flex 5-1570 81CA000UUS 15.6in Touchscreen LCD 2 in 1 Notebook"|"antonline_873"
"Lenovo - 2-in-1 15.6in Touch-Screen Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce MX130 - 256GB Solid State Drive - Onyx Black"|"bestbuy_730"
"Lenovo 81CA000UUS Ip flex 5 15.6 i7 8gb 256gb"|"savingslots_414"
"Samsung Chromebook Pro XE510C24-K01US 12.3in Touchscreen LCD 2 in 1 Chromebook"|"antonline_947"
"Samsung Chromebook Pro Laptop Computer"|"abt_27"
"Asus VivoBook F542UA-DH71 15.6in LCD Notebook"|"antonline_1101"
"Dell i5-8250U/ 8GB/256SSD/ W10/ 15.6in"|"sdicraft_177"
"Dell Inspiron 15 5570 15.6in Laptop Computer Intel Core i5-8250U"|"rlsteinway_35"
"ASUS F542UA-DH71 INTEL CORE I7 7500U 2.7GHZ"|"techcrave_1788"
"Lenovo ThinkPad E485 20KU001KUS 14in LCD Notebook"|"antonline_521"
"Lenovo 80YQ0002US 710s touch 13.3 i7 8gb 512gb"|"savingslots_484"
"HP COMMERCIAL SPECIALTY 1NL43UTABA ZBk17G4 i77820HQ 16G 1TB 17.3"|"massgenie_109"
"HP ZBook 17 G4 17.3in LCD Mobile Workstation"|"antonline_266"
"HP Commercial Specialty V2W08UT-ABA ZBk3 15 i7 6700 256G 8G W7 10 Laptop Workstation"|"massgenie_347"
"Lenovo 81F5000EUS Ip 330s 15.6 i5 8gb 256gb"|"savingslots_504"
"HP - ProBook 15.6in Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Silver"|"bestbuy_692"
"HP Inc.?ProBook 450 G5 - 8th Gen Intel Core i5 8250U / 1.6 GHz - Win 10 Pro 64-bit - 4 GB RAM - 500 GB HDD - 15.6in TN 1366 x 768 (HD) - UHD Graphics 620 - Wi-Fi Bluetooth - kbd: US?(2ST02UTABA)"|"pcmg_15"
"HP Inc.?ProBook 450 G5 - 8th Gen Intel Core i5 8250U / 1.6 GHz - Win 10 Pro 64-bit - 4 GB RAM - 500 GB HDD - 15.6in TN 1366 x 768 (HD) - UHD Graphics 620 - Wi-Fi Bluetooth - kbd: US?(2ST02UTABA)"|"macmall_348"
"HP EliteBook 1030 x360 G2 - 13.3in FHD Intel i7-7600U - 16GB - 256 GB NVME -  HD 615 - BT - backlit - HD cam - W10P-64 - 1UN43USABA"|"nautilusnet_7"
"HP EliteBook 1040 G4 14in Touchscreen LCD Notebook"|"antonline_369"
"Hp commercial remarketing 2xu38utaba excess ts 14.0uhd i5 16g 512g"|"massgenie_853"
"Lenovo 720S-15IKB 81AC"|"howardcomputer_1159"
"HP ZBook 15u G3 15.6in Mobile Workstation"|"antonline_162"
"HP Inc.?ZBook 17 G4 Mobile Workstation - Intel Core i7-7820HQ 3.9GHz - 16GB DDR4 - 1TB HDD - 17.3in FHD Display 1920x1080 - 6GB NVIDIA Quadro P3000 - 4x USB 3.0 - Bluetooth 4.2 - Win 10 Pro 64-bit?(1NL41UTABA)"|"macmall_309"
"HP ZBook 17 G4 17.3in LCD Mobile Workstation"|"antonline_389"
"Lenovo ThinkPad E480 20KN"|"howardcomputer_1599"
"Lenovo?ThinkPad E480 20KN - Core i5 7200U / 2.5 GHz - Win 10 Pro 64-bit - 4 GB RAM - 500 GB HDD - 14in TN 1366 x 768 (HD) - HD Graphics 620 - Wi-Fi Bluetooth - black?(20KN003TUS)"|"macmall_275"
"Lenovo - ThinkPad E480 14in Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black"|"bestbuy_799"
"Lenovo?ThinkPad E480 20KN - Core i5 8250U / 1.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2 NVMe - 14in IPS 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi Bluetooth - black?(20KN003XUS)"|"macmall_262"
"TPSLLR THINKPAD E480 I5-8250U (20KN003XUS) (0192158696614) (LENOVO - TOPSELLER THINK)"|"microcart_141"
"Lenovo - ThinkPad E480 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"|"bestbuy_800"
"Hewlett Packard 1NM38UT-ABA 13.3 in. 256 GB Smart Buy Elitebook Notebook"|"massgenie_279"
"Hewlett Packard 15in  i3 8130  8G 1T TCH W10 2c"|"buydig_377"
"Hewlett Packard ProBook 470 G5 Notebook PC - 2TT74UTABA"|"buydig_392"
"Lenovo - 720S-15IKB 15.6in Laptop - Intel Core i7 - 4GB Memory - NVIDIA GeForce GTX 1050 Ti Max-Q - 256GB Solid State Drive - Iron Gray"|"bestbuy_749"
"HP - Envy 13.3in Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - HP Finish In Natural Silver"|"bestbuy_647"
"HP 13-AH0010NR Envy 13.3&ampquot Touch-Screen Laptop Intel Core i7 8GB Memory 256GB Solid State Drive Finish In Natural Silver "|"truecurate_225"
"Lenovo IdeaPad 720S-15IKB 81AC003EUS 15.6in LCD Notebook"|"antonline_541"
"Hewlett Packard 13-AH0010NR ENVY 13.3in i7-8550U 8GB RAM 256GB Touch Laptop w/ Amazon Alexa"|"buydig_23"
"Lenovo Legion Y520 15.6in 8GB 1TB Full HD IPS Gaming Laptop - 80YY0090US"|"buydig_55"
"Lenovo ThinkPad X1 Yoga 20LD"|"howardcomputer_123"
"Dell - Latitude 14in Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive"|"bestbuy_485"
"Dell Latitude 5000 5491 14in LCD Notebook"|"antonline_724"
"Dell 14in i7 8850H 16GB 256GB"|"buydig_197"
"HP Business V1H19UT-ABA 850 i5-6300U 15.6 8G 256 7 & 10 Laptop"|"massgenie_582"
"HP EliteBook 850 G3 15.6in Notebook"|"antonline_227"
"Asus Chromebook Flip C213SA-YS02 11.6in Touchscreen LCD 2 in 1 Chromebook"|"antonline_1126"
"Lenovo ThinkPad T580 20L9001FUS 15.6in Touchscreen LCD Notebook"|"antonline_986"
"HP EliteBook 1040 G4 14in LCD Notebook"|"antonline_321"
"Hewlett Packard 1040 G4 i77500U 8GB 256GB 14in"|"buydig_276"
"HP - EliteBook 14in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Natural Silver Diamond Cut Design"|"bestbuy_618"
"EB1040G4 i7-7500U 14 8GB-256 PC U.S. - English localization"|"kaizyr_104"
"Dell - Latitude 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive"|"bestbuy_473"
"HP - ProBook 15.6in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Black"|"bestbuy_696"
"Dell Latitude 5000 5491 14in LCD Notebook"|"antonline_725"
"HP V1H66UT Zbk3 15 i7 6500u 512g 16g w10"|"savingslots_184"
"HP EliteBook x360 1020 G2 12.5in Touchscreen LCD 2 in 1 Notebook"|"antonline_379"
"Hewlett Packard 1020EBG2 i77500U 8GB 256G 12.5"|"buydig_460"
"HP EliteBook 830 G5 13.3in LCD Notebook"|"antonline_365"
"HP 15-db0000 15-db0040nr 15.6in Touchscreen LCD Notebook"|"antonline_286"
"HP - 15.6in Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 1TB Hard Drive - HP Finish In Smoke Gray And Ash Silver"|"bestbuy_584"
"HP 15DB0040NR 15 ryz5 2500 8g 1t tch w10 2c"|"savingslots_599"
"ASUS VivoBook X540YA DB02"|"howardcomputer_1055"
"Lenovo ThinkPad X1 Yoga Silver Laptop Computer"|"abt_117"
"Lenovo?ThinkPad X1 Yoga 20LF - Flip design - Core i5 8250U / 1.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2 NVMe - 14in IPS touchscreen 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi Bluetooth - silver?(20LF000JUS)"|"macmall_542"
"Lenovo ThinkPad X1 Yoga 3rd Gen 20LF000JUS 14in Touchscreen LCD 2 in 1 Ultrabook"|"antonline_1032"
"Lenovo ThinkPad T580 20L9001KUS 15.6in LCD Notebook"|"antonline_636"
"Dell LATI5590K7G13 15.6 i7 8650u 8gb 256gb ssd"|"savingslots_272"
"Dell Inspiron 15 Gaming 7577"|"howardcomputer_1751"
"Asus ZenBook Flip 14 UX461UA-DS51T 14in Touchscreen LCD Notebook"|"antonline_1047"
"Dell 14in i5 8350U 8gb 500GB SATA"|"buydig_479"
"Asus ZenBook Flip Slate Gray Notebook Computer"|"abt_34"
"Dell Latitude 5490 14in LCD Notebook"|"antonline_1060"
"Lenovo 81EU0008US Ip 530s 14 i5 8gb 256gb"|"savingslots_513"
"Lenovo?330-15IKBR 81DE - Core i5 8250U / 1.6 GHz - Win 10 Home 64-bit - 8 GB RAM - 1 TB HDD (16 GB SSD cache) - DVD-Writer - 15.6in TN 1366 x 768 (HD) - UHD Graphics 620 - Wi-Fi Bluetooth - platinum gray?(81DE01M2US)"|"macmall_521"
"Lenovo IdeaPad 330-15IKB 81DE01M2US 15.6in LCD Notebook"|"antonline_587"
"Lenovo IdeaPad 530S-14IKB 81EU0008US 14in LCD Notebook"|"antonline_594"
"Lenovo - 530S-14IKB 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Onyx Black"|"bestbuy_745"
"Hewlett Packard 15.6in 650G4 i57200U 4GB/500 PC"|"buydig_324"
"HP EliteBook 1040 G3 14in Notebook"|"antonline_362"
"HP ProBook 450 G5 15.6in LCD Notebook"|"antonline_56"
"Lenovo IdeaPad 330 Touch-15ARR 81D30001US 15.6in Touchscreen LCD Notebook"|"antonline_706"
"Lenovo?ThinkPad P71 Intel Core i7-7700HQ Quad-Core 2.80GHz Notebook PC - 8GB RAM 500GB HDD 17.3in FHD IPS LCD Gigabit Ethernet 802.11ac Bluetooth 4.1 Fingerprint Reader - Black?(20HK0013US)"|"macmall_308"
"Lenovo 20hk0013us p71win10pi78gb500gb3yr"|"massgenie_756"
"HP Inc.?SmartBuy ProBook 650 G4 8th Gen Intel Core i5-8250U 1.6GHz - 8GB RAM 256GB SSD NVMe 15.6in 1366 x 768 (HD) DVD-Writer UHD Graphics 620 Wi-Fi Bluetooth Windows 10 Pro 64-bit?(3YG31UTABA)"|"pcmg_216"
"HP ProBook 650 G4"|"howardcomputer_829"
"HP EliteBook 850 G4"|"antonline_413"
"HP - EliteBook 15.6in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silver"|"bestbuy_637"
"HP Inc.?Smart Buy EliteBook 850 G4 Intel Core i5-7200U 2.5GHz Notebook PC - 8GB RAM 256GB SSD 15.6in LED-backlit HD SVA Anti-Glare Gigabit Ethernet 8265 AC 2x2 WiFi Bluetooth 4.2 Webcam 3-Cell 51Whr Li-Ion Polymer Long Life Battery?(1BS46UTABA)"|"pcmg_531"
"HP 15.6in EliteBook 850 G4 Notebook"|"sdicraft_170"
"ASUS - VivoBook Flip 14 TP412UA 2-in-1 14in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Star Gray"|"bestbuy_344"
"Asus VivoBook Flip 14 TP412UA-DB51T 14in Touchscreen LCD Notebook"|"antonline_571"
"Lenovo ThinkPad E580 15.6&ampquot Full HD Business Laptop 20KS003LUS"|"cukusa_18"
"HP Pavilion 15.6in IPS Laptop Intel Core i5 (8th Gen) Quad Core 8GB RAM 1TB HDD Ceramic White"|"antonline_158"
"Hewlett Packard 15in  i5 8250  8G 1T TCH W10 2c"|"buydig_380"
"HP ProBook 450 G3 15.6in LCD Notebook Intel Core i5 8GB RAM 500 GB HDD Black"|"antonline_213"
"HP - Pavilion x360 2-in-1 14in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silk Gold HP Finish In Natural Silver"|"bestbuy_674"
"Lenovo IdeaPad 730S-13IWL 81JB0004US 13.3in LCD Notebook"|"antonline_480"
"HP 14-BA110NR Pavilion x360 2-in-1 14&ampquot Touch-Screen Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Silk Gold Finish In Natural Silver "|"truecurate_307"
"HP - ProBook 15.6in Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black"|"bestbuy_691"
"Lenovo?ThinkPad E480 20KN 7th Gen Intel Core i3-7020U Dual-Core 2.30GHz Notebook PC - 4GB RAM 500GB HDD 14in HD (1366x768) TN Display Intel HD Graphics 620 802.11ac Wi-Fi Bluetooth 4.1 Windows 10 Pro 64-bit - Black?(20KN008GUS)"|"macmall_108"
"Lenovo?ThinkPad P52s 20LB 8th Gen Intel Core i7 8650U / 1.9 GHz - Win 10 Pro 64-bit - 16 GB RAM - 1 TB SSD TCG Opal Encryption 2 NVMe - 15.6in IPS 1920 x 1080 (Full HD) - Quadro P500 / UHD Graphics 620 - Wi-Fi Bluetooth - WWAN upgradable - Black?(20LB0019US)"|"macmall_271"
"Lenovo ThinkPad P52s 20LB0019US 15.6in LCD Mobile Workstation Ultrabook"|"antonline_887"
"HP OMEN X 17.3in LCD Notebook Intel Core i7 16GB RAM 1TB HDD 256GB SSD"|"antonline_260"
"Lenovo?ThinkPad P52s 20LB 8th Gen Intel Core i7 8650U / 1.9 GHz - Win 10 Pro 64-bit - 16 GB RAM - 1 TB SSD TCG Opal Encryption 2 NVMe - 15.6in IPS 1920 x 1080 (Full HD) - Quadro P500 / UHD Graphics 620 - Wi-Fi Bluetooth - WWAN upgradable - Black?(20LB0019US)"|"pcmg_416"
"HP ZBook 15 G4 15.6in LCD Mobile Workstation"|"antonline_340"
"Hewlett Packard 11-v010nr 11.6in HD Chromebook - Intel Celeron N3060 Processor"|"buydig_14"
"Lenovo?ThinkPad X1 Yoga 20LD Flip design 8th Gen Intel Core i5-8350U Quad-Core 1.7GHz - 16GB RAM 256GB SSD TCG Opal Encryption 2 NVMe 14in IPS touchscreen 1920 x 1080 (Full HD) UHD Graphics 620 Wi-Fi Bluetooth Microsoft Windows 10 Pro 64-bit - Black?(20LD001DUS)"|"macmall_373"
"Lenovo?ThinkPad X1 Carbon 20KH - Ultrabook - Core i5 8250U / 1.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2 NVMe - 14in IPS 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi Bluetooth - black?(20KH002SUS)"|"pcmg_430"
"Lenovo - ThinkPad X1 Carbon 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"|"bestbuy_821"
"HP - EliteBook 14in Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Silver"|"bestbuy_617"
"HP ZBook Studio G4 15.6in LCD Mobile Workstation"|"antonline_341"
"HP 250 G6"|"howardcomputer_2277"
"Hewlett Packard 745G5 R7-2700U 14 8GB/256 PC"|"buydig_162"
"ASUS ROG Strix Scar Edition GL703GS-DS74 17.3in Gaming Laptop"|"antonline_845"
"Lenovo - ThinkPad T480s 14in Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Black"|"bestbuy_816"
"Lenovo ThinkPad E580 20KS"|"howardcomputer_821"
"Lenovo - ThinkPad E580 15.6in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black Black"|"bestbuy_803"
"Lenovo ThinkPad E580 20KS003QUS 15.6in LCD Notebook"|"antonline_876"
"Lenovo?ThinkPad E580 20KS - Core i5 7200U / 2.5 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2 NVMe - 15.6in IPS 1920 x 1080 (Full HD) - HD Graphics 620 - Wi-Fi Bluetooth - black (LCD cover) black (top cover)?(20KS003QUS)"|"pcmg_478"
"Lenovo - ThinkPad T480 14in Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Black"|"bestbuy_812"
"Lenovo 20L5004HUS ThinkPad T480 14&ampquot Laptop Intel Core i5 8GB Memory 500GB Hard Drive Black "|"truecurate_399"
"HP ProBook x360 440 G1 14in Touchscreen LCD 2 in 1 Notebook"|"antonline_174"
"Hewlett Packard PB360 440G1 i58250U 8G 256G 14"|"buydig_277"
"HP Inc.?Smart Buy ProBook 650 G2 Intel Core i5-6300U Dual-Core 2.40GHz Notebook PC - 8GB RAM 500GB HDD 15.6in FHD LED DVD+/-RW SuperMulti Gigabit Ethernet 802.11a/b/g/n Bluetooth Webcam 3-cell (48 WHr) Li-Ion Prismatic?(V1P79UTABA)"|"pcmg_202"
"Hewlett Packard 14in 1040G4 i7-7500U 8GB/512PC"|"buydig_310"
"Lenovo?ThinkPad X1 Yoga 20LD - Flip design - 8th Gen Intel Core i5 8250U / 1.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2 NVMe - 14in IPS touchscreen 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi Bluetooth - black?(20LD001GUS)"|"pcmg_502"
"15.6in IdeaPad 330 Multi-Touch Notebook"|"bhphotovideo_75"
"ASUS - 13.3in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Icicle Gold"|"bestbuy_279"
"Hewlett Packard ZBk3 15 i7 6700 1T 8G W7 10"|"buydig_158"
"HP Inc.?Smart Buy ZBook 15 G3 Intel Core i7-6700HQ Quad-Core 2.60GHz Mobile Workstation - 8GB RAM 1TB HDD 15.6in LED FHD Gigabit Ethernet 802.11ac Bluetooth Webcam TPM + Fingerprint Reader 9-cell 90 Wh Li-Ion Polymer?(V2W06UTABA)"|"macmall_133"
"Hp Commercial Specialty V2W06UtAba Zbk3 15 I7 6700 1T 8G W7 10"|"massgenie_772"
"HP 1GE40UT EliteBook 14&ampquot Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Silver "|"truecurate_3"
"HP - EliteBook 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silver"|"bestbuy_613"
"Lenovo - 17.3in Laptop - Intel Core i5 - 16GB Memory - NVIDIA GeForce GTX 1050 Ti - 1TB Hard Drive + 128GB Solid State Drive - Black"|"bestbuy_724"
